sample_name,sampleID,region,origin,lat,long,r420,d13c,r_ra,rc_ra,co2_he3,phase,SlabDepth,LabDepth,MohoDepth
Banos Toro,NA,CVZ,published,-29.75,-69.97,3.8,NA,1.41,1.45,NA,W,99.9061267543183,98.1422351578028,59.5647370340756
Fiambalá,FB210806,CVZ,published,-27.7425,-67.54878,215.3,NA,0.24,0.24,NA,G,138.4954881971,86.6279176409279,56.0663341614166
Fiambalá,FB210806,CVZ,this_study,-27.7425,-67.54878,215.3,NA,0.24,0.24,NA,G,138.4954881971,86.6279176409279,56.0663341614166
Villa Vil,AR-VV190228,CVZ,this_study,-27.11,-66.82,79.5,-13.28,0.9,0.89,8828051197.98385,W,163.560805783148,81.2385436741783,56.8680538644416
LH1,LH1,CVZ,published,-26.88,-67.77,6.1,-7.5,NA,NA,NA,W,132.840943356111,65.3655893802531,60.4326574930639
LH2,LH2,CVZ,published,-26.88,-67.77,6.1,-7.8,NA,1.11,63100000000,W,132.840943356111,65.3655893802531,60.4326574930639
LH3,LH3,CVZ,published,-26.88,-67.77,5.4,-9.6,NA,NA,NA,W,132.840943356111,65.3655893802531,60.4326574930639
EM1,EM1,CVZ,published,-26.85,-67.71,8.7,-9.1,NA,NA,NA,W,134.149892040025,65.3639351908768,60.3746071028
Cerro Blanco,EM1,CVZ,published,-26.84,-67.77,NA,-9.12,NA,NA,NA,W,132.784605713182,65.365060698878,60.5202264053289
Cerro Blanco,LH1,CVZ,published,-26.84,-67.77,NA,-7.48,NA,NA,NA,G,132.784605713182,65.365060698878,60.5202264053289
Cerro Blanco,LH2,CVZ,published,-26.84,-67.77,NA,-7.77,NA,1.11,63100000000,G,132.784605713182,65.365060698878,60.5202264053289
Cerro Blanco,LH3,CVZ,published,-26.84,-67.77,NA,-9.56,NA,NA,NA,G,132.784605713182,65.365060698878,60.5202264053289
Cba,Cba,CVZ,published,-26.76,-67.74,7.8,-5.2,NA,2.16,226000000000,W,133.347531385378,65.3635040021332,60.6335006926275
El Ceibal,EC-211106,CVZ,published,-26.14969,-64.955,1.2,NA,0.71,0.63,NA,G,329.6567522733,102.361517174549,42.0555910236351
El Ceibal,EC-211106,CVZ,this_study,-26.14969,-64.955,1.2,NA,0.71,0.63,NA,G,329.6567522733,102.361517174549,42.0555910236351
La Colcha,AR-LC190226,CVZ,this_study,-26.03,-66.99,333.3,-7.5,1.45,1.45,22239753128.9853,G,152.197086133927,67.8521874132223,63.300302336949
La Colcha,AR-LC190226,CVZ,this_study,-26.03,-66.99,545.6,-7.5,2.58,2.58,685621182.931687,G,152.197086133927,67.8521874132223,63.300302336949
Galan Fumerole,AR-GF190226-1,CVZ,this_study,-25.86,-66.99,197.9,NA,1.77,1.77,4178001856.99905,G,152.055435823361,66.8438717620245,63.7692831678642
Galan Fumerole,AR-GF190226-2,CVZ,this_study,-25.86,-66.99,217.7,-6.2,1.79,1.79,4129584125.19274,G,152.055435823361,66.8438717620245,63.7692831678642
Los Banos,NA,CVZ,published,-25.85,-64.93,0.5,NA,0.8,0.52,NA,W,331.374469063246,100.170263032358,41.7604591404218
Rosairio de la Frontera,AR-RF190301,CVZ,this_study,-25.84,-64.93,6,-8.28,0.36,0.33,95764291022.7032,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF01,CVZ,published,-25.84,-64.93,NA,-6.56,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF02,CVZ,published,-25.84,-64.93,NA,-4.11,1.15,NA,136000000000,G,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF03,CVZ,published,-25.84,-64.93,NA,-7.13,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF04,CVZ,published,-25.84,-64.93,NA,-5.66,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF05,CVZ,published,-25.84,-64.93,NA,-5.16,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF06,CVZ,published,-25.84,-64.93,NA,-4.15,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF08,CVZ,published,-25.84,-64.93,NA,-11.49,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF09,CVZ,published,-25.84,-64.93,NA,-4.11,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF10,CVZ,published,-25.84,-64.93,NA,-3.66,0.98,NA,168000000000,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF11,CVZ,published,-25.84,-64.93,NA,-4.44,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Rosario de la Frontera,RF13,CVZ,published,-25.84,-64.93,NA,-3.77,NA,NA,NA,W,331.339542030082,99.9509817577737,41.7555329636394
Aguas Caliente Galan,AR-GA190226,CVZ,this_study,-25.83,-66.92,177.3,-1.5,1.56,1.56,87787131708.0839,W,155.058615626587,67.4716353273012,63.9666065021632
Botijuela Vista,AR-BJ190222,CVZ,this_study,-25.74,-67.82,64.5,NA,1.24,1.24,82060688935.94,W,118.285827462662,64.6947649002027,60.6811023802506
Pio Perez,AR-PP190301,CVZ,this_study,-25.41,-64.59,1.7,-1.2,0.36,0.21,37188347148.891,G,370.473754757434,96.9136326113397,40.2076980272862
Pio Perez,AR-PP190301,CVZ,this_study,-25.41,-64.59,1.1,-10.67,0.36,0.11,4864360331.27374,W,370.473754757434,96.9136326113397,40.2076980272862
Pio Perez,AR-PP190301,CVZ,this_study,-25.41,-64.59,1.4,-10.67,0.33,0.14,21697208055.2422,W,370.473754757434,96.9136326113397,40.2076980272862
Lastarria,Lastarria,CVZ,published,-25.15,-68.52,159.9,NA,5.13,5.14,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,Lastarria,CVZ,published,-25.15,-68.52,199.1,NA,5.12,5.13,NA,G,97.928927268062,69.2487291485253,59.7479312732665
Lastarria,Lastarria CCVG2,CVZ,published,-25.15,-68.52,157.4,NA,5.27,5.28,NA,G,97.928927268062,69.2487291485253,59.7479312732665
