Sample Name,Sample ID,Region,lat,long,origin,Phase,xco2,x3he,x4he
MANTLE,M,M,,,ref,ref,0.999955358635797,4.99977645507352E-10,4.46408642248124E-05
CRUST,C,C,,,ref,ref,0.999998571430512,9.99468814443194E-14,1.42856938775787E-06
AIR,Air,Air,,,ref,ref,0.987115280108083,1.8038582651897E-08,0.012884701853334
AVERAGE ARC,Aarc,Aarc,,,ref,ref,0.999990079380166,8.33325042407266E-11,9.92053650178736E-06
Bano 7,,SVZ,-37.82,-71.1,published,G,0.999990409687648,1.02039814323598E-10,9.59021031233359E-06
Las Maquinas,,SVZ,-37.82,-71.1,published,G,0.999989417990287,1.11109862062454E-10,1.05818986030718E-05
Cordon Caulle,LS2,SVZ,-40.49,-72.17,published,G,0.999998771430105,9.8038909110388E-12,1.22856009070483E-06
Cordon Caulle,LS1,SVZ,-40.49,-72.17,published,G,0.999998733526933,1.06382733128056E-11,1.26646242847889E-06
Cordon Caulle,AC,SVZ,-40.49,-72.17,published,G,0.996610136383799,3.32203378213165E-08,0.003389830395863
Cordon Caulle,AZ,SVZ,-40.49,-72.17,published,G,0.999992729943803,2.54451166041187E-11,7.2700307520451E-06
Geométricas,B (gas),SVZ,-39.5,-71.87,published,G,0.79729786488737,1.17769256263722E-06,0.202700957420067
Geométricas,BW,SVZ,-39.5,-71.87,published,G,0.999921009356108,4.54509590391578E-10,7.89901893825724E-05
Rio Blanco,BW,SVZ,-39.11,-71.61,published,G,0.999947717833353,3.25715834146212E-10,5.22818409311544E-05
Rio Blanco,B (gas),SVZ,-39.11,-71.61,published,G,0.914602438780144,5.0811246599114E-07,0.08539705310739
Malacahuello,GW,SVZ,-38.49,-71.59,published,G,0.999883901117383,4.40477468559362E-10,0.00011609844214
Malacahuello,GW,SVZ,-38.49,-71.59,published,G,0.999860613432985,5.34684794839058E-10,0.00013938603233
Manzanar,G(gas),SVZ,-38.47,-71.71,published,G,0.393477939722078,1.26520237864192E-06,0.606520795075543
Chillán,F (steam),SVZ,-36.9,-71.41,published,G,0.999991351053248,2.88181600199106E-11,8.64891793362805E-06
Chillán,F (steam),SVZ,-36.9,-71.41,published,G,0.999993032062363,2.48753225219015E-11,6.96791276155889E-06
Las Maquinas,LM4,SVZ,-37.84,-71.09,published,G,,,
Chancho Co,CC3,SVZ,-37.83,-71.11,published,G,,,
Piedra Copahue,PC2,SVZ,-37.83,-71.11,published,G,,,
COP,COP2,SVZ,-37.83,-71.11,published,G,,,
Las Maquinas,LM1,SVZ,-37.83,-71.08,published,G,,,
Las Maquinas,LMM1,SVZ,-37.83,-71.08,published,G,,,
Piedra Copahue,PC3,SVZ,-37.82,-71.15,published,G,,,
Anfiteatro,AF2,SVZ,-37.82,-71.11,published,G,,,
Anfiteatro,AF1,SVZ,-37.82,-71.11,published,G,,,
Chancho Co,CC2,SVZ,-37.82,-71.16,published,G,,,
Las Maquinas,LMM2,SVZ,-37.82,-71.09,published,G,,,
Tupungatito,Tu8,SVZ,-33.39,-69.82,published,G,0.999998888472222,7.87406406637128E-12,1.1115199034224E-06
Tupungatito,Tu7,SVZ,-33.39,-69.82,published,G,0.999999168161723,7.09208066643914E-12,8.31831184846122E-07
Tupungatito,Tu3,SVZ,-33.39,-69.82,published,G,0.999999037565225,6.99305741788435E-12,9.62427781818591E-07
Tupungatito,Tu1,SVZ,-33.39,-69.82,published,G,0.999999148944887,6.49338708785818E-12,8.51048619551061E-07
Tupungatito,Tu5,SVZ,-33.39,-69.82,published,G,0.999999224019098,5.71434414988518E-12,7.75975187412973E-07
Tupungatito,Tu10,SVZ,-33.39,-69.82,published,G,0.999999322915171,5.12823534108344E-12,6.77079701079381E-07
Tupungatito,Tu12,SVZ,-33.39,-69.82,published,G,0.99999942252443,4.6728995874311E-12,5.77470896907775E-07
Tupungatito,Tu6,SVZ,-33.39,-69.82,published,G,0.999999423731529,4.21943125449504E-12,5.76264251732844E-07
